date,year,month,day,atmp_max,atmp_min,pcpn,wspd_max
1/1/1996,1996,1,1,31,25.1,0.01,14.6
1/2/1996,1996,1,2,25.2,10.2,0,17.1
1/3/1996,1996,1,3,17.1,0.3,0,19.3
1/4/1996,1996,1,4,20.8,-2.7,0,14.6
1/5/1996,1996,1,5,18.8,-3.5,0,14.6
1/6/1996,1996,1,6,20.8,0.3,0,8.2
1/7/1996,1996,1,7,16.9,2.7,0,17.1
1/8/1996,1996,1,8,24,-1.7,0,21.4
1/9/1996,1996,1,9,26.7,16.4,0,22.5
1/10/1996,1996,1,10,20.3,-2.6,0,16.4
1/11/1996,1996,1,11,17.1,-3.2,0,11.7
1/12/1996,1996,1,12,25.8,2.6,0,13.5
1/13/1996,1996,1,13,37.2,25.1,0.09,16
1/14/1996,1996,1,14,41.3,21.3,0,21
1/15/1996,1996,1,15,21.9,8.7,0,17.1
1/16/1996,1996,1,16,42.9,12.6,0,18.9
1/17/1996,1996,1,17,45.8,39.3,0.15,20.7
1/18/1996,1996,1,18,58.9,44.6,0.6,31.1
1/19/1996,1996,1,19,46,10.9,0.03,30.7
1/20/1996,1996,1,20,22.5,5.8,0,16.8
1/21/1996,1996,1,21,28,14.9,0,18.2
1/22/1996,1996,1,22,43.1,21.8,0,24.3
1/23/1996,1996,1,23,34.4,29.1,0.14,13.2
1/24/1996,1996,1,24,38.9,15.8,0.08,24.6
1/25/1996,1996,1,25,24.9,11.3,0,13.5
1/26/1996,1996,1,26,37.7,23.9,0.08,18.9
1/27/1996,1996,1,27,41,16.9,0.08,34.3
1/28/1996,1996,1,28,25.3,7.7,0,14.2
1/29/1996,1996,1,29,30.6,12.1,0,44.7
1/30/1996,1996,1,30,13.2,3.1,0,28.2
1/31/1996,1996,1,31,9.6,-3.2,0,18.2
2/1/1996,1996,2,1,11.2,-2.2,0,20.3
2/2/1996,1996,2,2,3.6,-9.7,0,21.4
2/3/1996,1996,2,3,2.3,-14.5,0,16.8
2/4/1996,1996,2,4,7,-13.2,0,17.5
2/5/1996,1996,2,5,17.6,-4.9,0,25
2/6/1996,1996,2,6,25.4,-2.1,0,16
2/7/1996,1996,2,7,38.5,25.1,0,24.6
2/8/1996,1996,2,8,41.7,30.9,0.17,21
2/9/1996,1996,2,9,41.4,30,0,16.8
2/10/1996,1996,2,10,51.7,33.2,0,33.6
2/11/1996,1996,2,11,34,15.8,0,29.3
2/12/1996,1996,2,12,20.9,11.7,0,23.2
